"timeMillisSpent","score"
2250,"0hard/-40840350soft"
2251,"0hard/-40836071soft"
2252,"0hard/-40835767soft"
2253,"0hard/-40822846soft"
2254,"0hard/-40798359soft"
2255,"0hard/-40793464soft"
2255,"0hard/-40779692soft"
2256,"0hard/-40775669soft"
2257,"0hard/-40770975soft"
2258,"0hard/-40766215soft"
2259,"0hard/-40750710soft"
2259,"0hard/-40749920soft"
2260,"0hard/-40658207soft"
2261,"0hard/-40606780soft"
2262,"0hard/-40577541soft"
2262,"0hard/-40562332soft"
2263,"0hard/-40558410soft"
2264,"0hard/-40540875soft"
2265,"0hard/-40536534soft"
2266,"0hard/-40535003soft"
2267,"0hard/-40533620soft"
2268,"0hard/-40533425soft"
2269,"0hard/-40501223soft"
2269,"0hard/-40463987soft"
2270,"0hard/-40463700soft"
2271,"0hard/-40418978soft"
2272,"0hard/-40403090soft"
2273,"0hard/-40389723soft"
2274,"0hard/-40350942soft"
2275,"0hard/-40326331soft"
2276,"0hard/-40300167soft"
2277,"0hard/-40297705soft"
2278,"0hard/-40297493soft"
2279,"0hard/-40280149soft"
2280,"0hard/-40249898soft"
2281,"0hard/-40236147soft"
2282,"0hard/-40231212soft"
2283,"0hard/-40223344soft"
2284,"0hard/-40198648soft"
2284,"0hard/-40197208soft"
2286,"0hard/-40192556soft"
2287,"0hard/-40177820soft"
2288,"0hard/-40177481soft"
2289,"0hard/-40172034soft"
2290,"0hard/-40163331soft"
2291,"0hard/-40155345soft"
2292,"0hard/-40132782soft"
2293,"0hard/-40125740soft"
2295,"0hard/-40122311soft"
2296,"0hard/-40106980soft"
2297,"0hard/-40100174soft"
2298,"0hard/-40099083soft"
2299,"0hard/-40090131soft"
2300,"0hard/-40072742soft"
2301,"0hard/-40049643soft"
2302,"0hard/-40042181soft"
2302,"0hard/-40035641soft"
2303,"0hard/-40013241soft"
2305,"0hard/-40004813soft"
2306,"0hard/-40002208soft"
2306,"0hard/-40001913soft"
2307,"0hard/-40001790soft"
2308,"0hard/-39978602soft"
2309,"0hard/-39964261soft"
2310,"0hard/-39962378soft"
2310,"0hard/-39941661soft"
2312,"0hard/-39935833soft"
2313,"0hard/-39933614soft"
2314,"0hard/-39906291soft"
2315,"0hard/-39896109soft"
2315,"0hard/-39887553soft"
2316,"0hard/-39887227soft"
2317,"0hard/-39840075soft"
2318,"0hard/-39827151soft"
2318,"0hard/-39826063soft"
2319,"0hard/-39822265soft"
2319,"0hard/-39818971soft"
2320,"0hard/-39810291soft"
2320,"0hard/-39797085soft"
